name,emoji_unicode,average_color
🪦,U+1FAA6,165 169 171
📖,U+1F4D6,240 238 250
👿,U+1F47F,160 25 171
🏩,U+1F3E9,223 135 172
🚗,U+1F697,250 45 45
🚢,U+1F6A2,205 196 215
🐘,U+1F418,155 155 155
🐨,U+1F428,176 173 173
🦪,U+1F9AA,223 201 173
🥁,U+1F941,255 215 215
🦙,U+1F999,205 196 215
🍸,U+1F378,206 210 176
🚏,U+1F68F,107 169 177
📇,U+1F4C7,180 170 200
🚙,U+1F699,94 148 179
🧴,U+1F9F4,251 184 171
👏,U+1F44F,248 184 18
👆,U+1F446,253 188 18
👹,U+1F479,149 19 18
💷,U+1F4B7,136 104 180
🧁,U+1F9C1,255 109 198
🚐,U+1F690,177 179 180
📭,U+1F4ED,85 134 181
🐺,U+1F43A,181 181 181
🪚,U+1FA9A,206 197 181
🦏,U+1F98F,178 181 183
🗽,U+1F5FD,126 192 183
☔,U+2614,153 99 183
🐀,U+1F400,99 99 99
🪬,U+1FAAC,10 110 205
💀,U+1F480,184 184 184
🎠,U+1F3A0,240 170 90
⌚,U+231A,82 55 170
🎒,U+1F392,245 50 50
📰,U+1F4F0,186 185 186
🚤,U+1F6A4,96 164 187
🐦,U+1F426,200 11 74
♒,U+2652,168 95 188
👐,U+1F450,250 187 19
🫲,U+1FAF2,251 187 19
🟦,U+1F7E6,57 124 190
🛝,U+1F6DD,109 176 190
🕍,U+1F54D,250 175 100
🎲,U+1F3B2,197 191 191
👾,U+1F47E,100 90 150
💒,U+1F492,218 175 193
🧿,U+1F9FF,68 62 193
♑,U+2651,137 105 194
📐,U+1F4D0,182 190 194
🤺,U+1F93A,180 191 195
📏,U+1F4CF,186 194 197
☕,U+2615,125 69 51
🥋,U+1F94B,198 198 198
🥟,U+1F95F,230 214 198
🫐,U+1FAD0,140 101 199
💺,U+1F4BA,48 140 199
🌸,U+1F338,255 109 199
🐁,U+1F401,204 199 199
🎃,U+1F383,196 108 2
🎷,U+1F3B7,243 185 20
🙌,U+1F64C,250 187 20
☝,U+261D,250 187 20
✋,U+270B,252 188 20
🖐,U+1F590,252 189 20
🦵,U+1F9B5,253 189 20
🩳,U+1FA73,106 252 172
🏥,U+1F3E5,191 198 202
🚈,U+1F688,137 183 203
🚆,U+1F686,144 185 203
🐭,U+1F42D,210 203 203
📈,U+1F4C8,212 203 203
📉,U+1F4C9,202 209 204
🧼,U+1F9FC,235 170 206
🚠,U+1F6A0,117 177 206
👥,U+1F465,83 53 102
🆔,U+1F194,162 137 207
🍨,U+1F368,173 195 207
🦭,U+1F9AD,185 201 207
🃏,U+1F0CF,214 205 207
🌼,U+1F33C,231 222 207
🥈,U+1F948,155 184 208
🧄,U+1F9C4,255 240 195
🤌,U+1F90C,251 188 21
💪,U+1F4AA,252 189 21
🖖,U+1F596,252 189 21
🕷,U+1F577,21 21 21
🫂,U+1FAC2,107 70 140
🪧,U+1FAA7,218 214 210
🏢,U+1F3E2,173 199 211
🧾,U+1F9FE,207 209 211
🧻,U+1F9FB,211 211 211
🕑,U+1F551,203 209 212
🕒,U+1F552,203 209 212
💶,U+1F4B6,87 157 213
🪪,U+1FAAA,20 160 220
🍥,U+1F365,227 204 213
🕐,U+1F550,203 209 213
📃,U+1F4C3,213 213 213
🐰,U+1F430,226 209 214
🕠,U+1F560,204 210 214
🕛,U+1F55B,205 212 215
🚽,U+1F6BD,212 214 215
📅,U+1F4C5,146 184 217
🛁,U+1F6C1,209 215 219
📙,U+1F4D9,223 127 22
